timestamp,open_price,high_price,low_price,close_price,volume
2025-06-25 18:00:00,1.2436,1.2440,1.2347,1.2370,565343
2025-06-25 19:00:00,1.2370,1.2440,1.2290,1.2314,849560
2025-06-25 20:00:00,1.2314,1.2436,1.2284,1.2426,727649
2025-06-25 21:00:00,1.2425,1.2500,1.2314,1.2346,563321
2025-06-25 22:00:00,1.2347,1.2360,1.2300,1.2353,510130
2025-06-25 23:00:00,1.2353,1.2409,1.2303,1.2377,447692
2025-06-26 00:00:00,1.2377,1.2451,1.2341,1.2416,646895
2025-06-26 01:00:00,1.2416,1.2637,1.2398,1.2577,1262075
2025-06-26 02:00:00,1.2576,1.2697,1.2531,1.2680,802036
2025-06-26 03:00:00,1.2679,1.2754,1.2554,1.2581,916211
2025-06-26 04:00:00,1.2582,1.2599,1.2417,1.2477,693861
2025-06-26 05:00:00,1.2476,1.2476,1.2382,1.2438,538816
2025-06-26 06:00:00,1.2437,1.2493,1.2418,1.2436,526176
2025-06-26 07:00:00,1.2436,1.2484,1.2392,1.2421,796681
2025-06-26 08:00:00,1.2420,1.2476,1.2348,1.2356,501182
2025-06-26 09:00:00,1.2357,1.2361,1.2213,1.2281,1059726
2025-06-26 10:00:00,1.2281,1.2434,1.2253,1.2396,1188122
2025-06-26 11:00:00,1.2396,1.2475,1.2356,1.2418,828212
2025-06-26 12:00:00,1.2419,1.2428,1.2229,1.2241,1189558
2025-06-26 13:00:00,1.2241,1.2252,1.2116,1.2147,1332210
2025-06-26 14:00:00,1.2147,1.2323,1.2101,1.2221,1197048
2025-06-26 15:00:00,1.2221,1.2317,1.2154,1.2292,1137909
2025-06-26 16:00:00,1.2292,1.2301,1.2141,1.2157,699588
2025-06-26 17:00:00,1.2157,1.2218,1.2058,1.2060,876360
2025-06-26 18:00:00,1.2060,1.2147,1.2032,1.2137,703830
2025-06-26 19:00:00,1.2137,1.2245,1.2121,1.2189,469969
2025-06-26 20:00:00,1.2188,1.2230,1.2108,1.2132,748994
2025-06-26 21:00:00,1.2133,1.2178,1.2087,1.2145,662183
2025-06-26 22:00:00,1.2145,1.2175,1.2022,1.2051,964100
2025-06-26 23:00:00,1.2052,1.2089,1.2027,1.2077,491931
2025-06-27 00:00:00,1.2076,1.2114,1.1979,1.1984,822850
2025-06-27 01:00:00,1.1986,1.2214,1.1941,1.2185,984612
2025-06-27 02:00:00,1.2185,1.2272,1.2163,1.2221,676416
2025-06-27 03:00:00,1.2221,1.2235,1.2174,1.2211,560388
2025-06-27 04:00:00,1.2212,1.2216,1.2148,1.2161,379262
2025-06-27 05:00:00,1.2160,1.2258,1.2145,1.2163,505829
2025-06-27 06:00:00,1.2162,1.2205,1.2134,1.2157,531610
2025-06-27 07:00:00,1.2156,1.2233,1.2033,1.2052,831253
2025-06-27 08:00:00,1.2053,1.2215,1.2053,1.2177,914941
2025-06-27 09:00:00,1.2177,1.2197,1.2076,1.2124,599056
2025-06-27 10:00:00,1.2123,1.2132,1.2063,1.2083,491341
2025-06-27 11:00:00,1.2080,1.2099,1.2043,1.2071,430896
2025-06-27 12:00:00,1.2070,1.2161,1.2012,1.2029,792953
2025-06-27 13:00:00,1.2029,1.2085,1.1991,1.2084,550428
2025-06-27 14:00:00,1.2084,1.2158,1.2031,1.2051,738422
2025-06-27 15:00:00,1.2050,1.2198,1.2013,1.2168,980638
2025-06-27 16:00:00,1.2169,1.2294,1.2141,1.2177,999455
2025-06-27 17:00:00,1.2177,1.2188,1.1999,1.2069,892146
2025-06-27 18:00:00,1.2068,1.2085,1.1899,1.1959,994251
2025-06-27 19:00:00,1.1958,1.2003,1.1935,1.1985,489991
2025-06-27 20:00:00,1.1985,1.2084,1.1965,1.2081,480468
2025-06-27 21:00:00,1.2080,1.2180,1.2075,1.2164,525928
2025-06-27 22:00:00,1.2164,1.2253,1.2164,1.2241,484351
2025-06-27 23:00:00,1.2241,1.2243,1.2178,1.2227,492693
2025-06-28 00:00:00,1.2227,1.2232,1.2141,1.2147,511078
2025-06-28 01:00:00,1.2146,1.2152,1.2100,1.2116,461075
